Denominazione,CodiceFiscale,CodiceABI,CodiceBIC,CodiceSellerBank,Attivo,AttivoMod12,AttivoMod3
ADMIRAL PAY ISTITUTO DI PAGAMENTO - SOCIETÀ A RESPONSABILITÀ LIMITATA,04335420404,36080,NIPSITR1,,1,0,1
ALLIANZ BANK FINANCIAL ADVISORS S.P.A.,09733300157,03589,BKRAITMM,,1,0,1
ALPENBANK A.G.,94069700212,03134,,,1,1,1
ALTO ADIGE BANCA S.P.A.,11658880155,03374,,,1,0,1
American Express Payment Services LTD.,10725181001,36019,xxxxxxxxxx,,1,1,0
A-TONO PAYMENT INSTITUTE SPA,09217250969,36064,ATPIITM1,,1,0,1
BANCA 5 S.P.A,05435910962,03385,ITBBITM1,,1,0,1
BANCA ADRIA COLLI EUGANEI - CREDITO COOPERATIVO SOCIETA' COOPERATIVA,01369230295,08982,CCRTIT2T97A,,1,1,1
BANCA AGRICOLA POPOLARE DI RAGUSA SOCIETA' COOPERATIVA PER AZIONI,00026870881,05036,POPRIT3R,,1,1,1
BANCA ALPI MARITTIME CREDITO COOPERATIVO CARRU' - SOCIETA' COOPERATIVA PER AZIONI,00195530043,08450,ICRAITRRCI0,,1,1,1
BANCA ALTA TOSCANA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00138580477,08922,ICRAITRRPM0,,1,0,1
"BANCA ALTO VICENTINO - CREDITO COOPERATIVO DI SCHIO, PEDEMONTE E ROANA - SOCIETA' COOPERATIVA",00210200242,08669,CCRTIT2TF01,,1,0,1
BANCA CAMBIANO 1884 S.P.A.,02599341209,08425,CRACIT33,,1,0,1
Banca Capasso Antonio SPA,00095310611,03047,CAOTIT31XXX,,1,0,1
BANCA CARIGE S.P.A. - CASSA DI RISPARMIO DI GENOVA E IMPERIA,03285880104,06175,CRGEITGG,,1,0,1
BANCA CASSA DI RISPARMIO DI SAVIGLIANO S.P.A.,00204500045,06305,SARCIT2S,,1,1,1
BANCA CENTRO EMILIA - CREDITO COOPERATIVO SOCIETA' COOPERATIVA,01402600389,08509,CCRTIT2TBCE,,1,1,1
BANCA CENTRO LAZIO CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00697880581,08716,ICRAITRRJW0,,1,0,1
BANCA CENTROPADANA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,12514870158,08324,ICRAITRR900,,1,1,1
Banca Cesare Ponti S.P.A.,07051880966,03084,BCEPITMM,,1,0,1
Banca Consulia S.P.A.,01733820037,03159,INPIITM1,,1,0,1
BANCA CRAS CREDITO COOPERATIVO TOSCANO - SIENA - SOCIETA' COOPERATIVA,00049280522,08885,ICRAITRROL0,,1,1,1
BANCA CREMASCA E MANTOVANA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,01230590190,07076,ICRAITRRTW0,,1,0,1
BANCA DEI SIBILLINI-CREDITO COOPERATIVO DI CASAVECCHIA - SOC. COOP.,00118970433,08456,ICRAITRRCO0,,1,0,1
BANCA DEL CATANZARESE - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,03402920791,07091,ICRAITRRUB0,,1,0,1
BANCA DEL CILENTO DI SASSANO E VALLO DI DIANO E DELLA LUCANIA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,02596790655,08154,ICRAITRR4A0,,1,0,1
BANCA DEL FUCINO - S.P.A.,00694710583,03124,BAFUITRR,,1,0,1
"BANCA DEL GRAN SASSO D'ITALIA, BANCA DI CREDITO COOPERATIVO SOCIETÀ COOPERATIVA PER AZIONI",90016030679,07116,CCRTIT2TGSI,,1,1,1
BANCA DELLA MARCA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,03669140265,07084,ICRAITRRU40,,1,1,1
BANCA DELLA VALSASSINA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00337470132,08515,ICRAITRREB0,,1,0,1
BANCA DELL'ELBA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,01221550492,07048,ICRAITRRT40,,1,0,1
BANCA DEL MONTE DI LUCCA S.P.A.,01459540462,06915,BMLUIT3L,,1,0,1
BANCA DEL PICENO CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00143690444,08474,ICRAITRR980,,1,0,1
Banca del Piemonte SPA,00821100013,03048,BDCPITTT,,1,1,1
Banca del Sud SPA,05479261215,03353,SUDNITN1XXX,,1,0,1
BANCA DEL TERRITORIO LOMBARDO CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00436650170,08735,CCRTIT2TBTL,,1,1,1
BANCA DEL VALDARNO - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00135410512,08811,ICRAITRRMJ0,,1,0,1
BANCA DI ANCONA E FALCONARA MARITTIMA CREDITO COOPERATIVO - SOCIETA' COOPERATIVA,00982770422,08086,ICRAITRR2E0,,1,0,1
BANCA DI ANDRIA DI CREDITO COOPERATIVO - SOCIETA' COOPERATIVA PER AZIONI A RESPONSABILITA' LIMITATA,06059120722,07101,ICRAITRRUL0,,1,0,1
Banca di Anghiari e Stia Credito Cooperativo Societa' Cooperativa,01622460515,08345,ICRAITRR9L0,,1,0,1
Banca di Bologna Credito Cooperativo Societa' Cooperativa,00415760370,08883,BDBOIT22XXX,,1,1,1
"BANCA DI CARAGLIO, DEL CUNEESE E DELLA RIVIERA DEI FIORI - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA",00245130042,08439,CCRTIT2TCAR,,1,1,1
BANCA DI CREDITO COOPERATIVO ABRUZZESE - CAPPELLE SUL TAVO SOCIETA' COOPERATIVA,00091530683,08434,ICRAITRRC20,,1,0,1
BANCA DI CREDITO COOPERATIVO AGRIGENTINO - SOCIETA' COOPERATIVA,02428850842,07108,ICRAITRRUS0,,1,1,1
BANCA DI CREDITO COOPERATIVO AGROBRESCIANO - SOCIETA' COOPERATIVA,00284980174,08575,ICRAITRRFZ0,,1,1,1
BANCA DI CREDITO COOPERATIVO BERGAMASCA E OROBICA - SOCIETA' COOPERATIVA,04074830169,08940,ICRAITRRQ40,,1,0,1
BANCA DI CREDITO COOPERATIVO BERGAMO E VALLI - SOCIETA' COOPERATIVA - BCC BERGAMO,00312270168,08869,ICRAITRRO50,,1,0,1
BANCA DI CREDITO COOPERATIVO BRIANZA E LAGHI - SOCIETA' COOPERATIVA,00318030137,08329,ICRAITRR950,,1,1,1
BANCA DI CREDITO COOPERATIVO DEGLI ULIVI - TERRA DI BARI - SOCIETA' COOPERATIVA,00274050723,08988,ICRAITRRRG0,,1,0,1
BANCA DI CREDITO COOPERATIVO DEI CASTELLI E DEGLI IBLEI SOCIETA' COOPERATIVA,01617330855,07078,CCRTIT2TIBL,,1,1,1
BANCA DI CREDITO COOPERATIVO DEI CASTELLI ROMANI E DEL TUSCOLO - SOCIETA' COOPERATIVA,07311521004,07092,ICRAITRRCX0,,1,0,1
BANCA DI CREDITO COOPERATIVO DEI COLLI ALBANI - SOCIETA' COOPERATIVA,01103500581,08951,ICRAITRRQF0,,1,0,1
